#density, energy density and pressure in cgs units for eos=ALF2.

#density, energy density and pressure in cgs units for eos=ALF2.
#i rho edens pres
0.000000000000000000e+00 2.153703741927123042e-11 3.576327931847884611e+04 1.000000000000000000e+20
1.000000000000000000e+00 2.204425815322654698e-11 3.660554624297614646e+04 1.037566678745189089e+20
2.000000000000000000e+00 2.256342448898136957e-11 3.746764957295681234e+04 1.076544612842313646e+20
3.000000000000000000e+00 2.309481775849420002e-11 3.835005648118410318e+04 1.116986818467824927e+20
4.000000000000000000e+00 2.363872591939767601e-11 3.925324514299033763e+04 1.158948303439807119e+20
5.000000000000000000e+00 2.419544371104142761e-11 4.017770499540639867e+04 1.202486142037412250e+20
6.000000000000000000e+00 2.476527281420803907e-11 4.112393700239108148e+04 1.247659552630873620e+20
7.000000000000000000e+00 2.534852201459172920e-11 4.209245392630912102e+04 1.294529978227913359e+20
8.000000000000000000e+00 2.594550737012716977e-11 4.308378060580316378e+04 1.343161170046018028e+20
9.000000000000000000e+00 2.655655238225779026e-11 4.409845424020795326e+04 1.393619274224137830e+20
1.000000000000000000e+01 2.718198817123955447e-11 4.513702468066619622e+04 1.445972921792019661e+20
1.100000000000000000e+01 2.782215365557140538e-11 4.620005472809757339e+04 1.500293322019222979e+20
1.200000000000000000e+01 2.847739573565277096e-11 4.728812043818763777e+04 1.556654359271058964e+20
1.300000000000000000e+01 2.914806948176648152e-11 4.840181143355990935e+04 1.615132693503092982e+20
1.400000000000000000e+01 2.983453832648742953e-11 4.954173122329774924e+04 1.675807864530761810e+20
1.500000000000000000e+01 3.053717426162484822e-11 5.070849752999537304e+04 1.738762400216250450e+20
1.600000000000000000e+01 3.125635803980053993e-11 5.190274262450764945e+04 1.804081928719388180e+20
1.700000000000000000e+01 3.199247938077609059e-11 5.312511366858666588e+04 1.871855294965575516e+20
1.800000000000000000e+01 3.274593718263920168e-11 5.437627306558786222e+04 1.942174681489028547e+20
1.900000000000000000e+01 3.351713973796221115e-11 5.565689881943357614e+04 2.015135733815550280e+20
2.000000000000000000e+01 3.430650495505377881e-11 5.696768490203483088e+04 2.090837690555750154e+20
2.100000000000000000e+01 3.511446058441875276e-11 5.830934162936242501e+04 2.169383518385190994e+20
2.200000000000000000e+01 3.594144445055314404e-11 5.968259604637827579e+04 2.250880052095457034e+20
2.300000000000000000e+01 3.678790468919820893e-11 6.108819232103264221e+04 2.335438139906481848e+20
2.400000000000000000e+01 3.765429999018016536e-11 6.252689214753767010e+04 2.423172794237590897e+20
2.500000000000000000e+01 3.854109984597199568e-11 6.399947515914376709e+04 2.514203348142796636e+20
2.600000000000000000e+01 3.944878480610616307e-11 6.550673935063261160e+04 2.608653617622556017e+20
2.700000000000000000e+01 4.037784673758100734e-11 6.704950151076437032e+04 2.706652070033235640e+20
2.800000000000000000e+01 4.132878909140008421e-11 6.862859766490974289e+04 2.808331998823175619e+20
2.900000000000000000e+01 4.230212717538662575e-11 7.024488352810362994e+04 2.913831704832776602e+20
3.000000000000000000e+01 4.329838843342630588e-11 7.189923496877439902e+04 3.023294684405776384e+20
3.100000000000000000e+01 4.431811273128324821e-11 7.359254848338961892e+04 3.136869824566886400e+20
3.200000000000000000e+01 4.536185264914943915e-11 7.532574168228439521e+04 3.254711605531841659e+20
3.300000000000000000e+01 4.643017378108407740e-11 7.709975378693203675e+04 3.376980310825095004e+20
3.400000000000000000e+01 4.752365504150277044e-11 7.891554613892280031e+04 3.503842245290661642e+20
3.500000000000000000e+01 4.864288897888830864e-11 8.077410272093593085e+04 3.635469961293318062e+20
3.600000000000000000e+01 4.978848209688613302e-11 8.267643068997591035e+04 3.772042493417009316e+20
3.700000000000000000e+01 5.096105518296442148e-11 8.462356092317163711e+04 3.913745601980376023e+20
3.800000000000000000e+01 5.216124364481440118e-11 8.661654857643041760e+04 4.060772025700369695e+20
3.900000000000000000e+01 5.338969785467083786e-11 8.865647365624537633e+04 4.213321743847271956e+20
4.000000000000000000e+01 5.464708350174537031e-11 9.074444160497668781e+04 4.371602248248502518e+20
4.100000000000000000e+01 5.593408195295625971e-11 9.288158389991089643e+04 4.535828825510199951e+20
4.200000000000000000e+01 5.725139062215617893e-11 9.506905866643399349e+04 4.706224849841271603e+20
4.300000000000000000e+01 5.859972334805601586e-11 9.730805130564633873e+04 4.883022086877884580e+20
4.400000000000000000e+01 5.997981078104607707e-11 9.959977513675439695e+04 5.066461008921247744e+20
4.500000000000000000e+01 6.139240077913194937e-11 1.019454720545999444e+05 5.256791122018419343e+20
4.600000000000000000e+01 6.283825881319037975e-11 1.043464132026678562e+05 5.454271305329847173e+20
4.700000000000000000e+01 6.431816838177264208e-11 1.068038996619503014e+05 5.659170163246231060e+20
4.800000000000000000e+01 6.583293143567685505e-11 1.093192631560351292e+05 5.871766390733261373e+20
4.900000000000000000e+01 6.738336881251624796e-11 1.118938667727956781e+05 6.092349152400686449e+20
5.000000000000000000e+01 6.897032068152696604e-11 1.145291057030862721e+05 6.321218475812447846e+20
5.100000000000000000e+01 7.059464699884650894e-11 1.172264079968274891e+05 6.558685659571448709e+20
5.200000000000000000e+01 7.225722797351778071e-11 1.199872353369047632e+05 6.805073696735192678e+20
5.300000000000000000e+01 7.395896454446835318e-11 1.228130838312945270e+05 7.060717714137780060e+20
5.400000000000000000e+01 7.570077886871915847e-11 1.257054848238407430e+05 7.325965428215199826e+20
5.500000000000000000e+01 7.748361482109688570e-11 1.286660057241366594e+05 7.601177617955322593e+20
5.600000000000000000e+01 7.930843850570922201e-11 1.316962508569429629e+05 7.886728615614172365e+20
5.700000000000000000e+01 8.117623877946982751e-11 1.347978623316182639e+05 8.183006815867372831e+20
5.800000000000000000e+01 8.308802778795305755e-11 1.379725209320273134e+05 8.490415204088754995e+20
5.900000000000000000e+01 8.504484151386440434e-11 1.412219470274019695e+05 8.809371904473955041e+20
6.000000000000000000e+01 8.704774033843430436e-11 1.445479015046656714e+05 9.140310748756222935e+20
6.100000000000000000e+01 8.909780961602700904e-11 1.479521867227063631e+05 9.483681866285947290e+20
6.200000000000000000e+01 9.119616026228649893e-11 1.514366474891320686e+05 9.839952296278206710e+20
6.300000000000000000e+01 9.334392935613382142e-11 1.550031720600320259e+05 1.020960662306047525e+21
6.400000000000000000e+01 9.554228075593759970e-11 1.586536931632773485e+05 1.059314763518365663e+21
6.500000000000000000e+01 9.779240573020306064e-11 1.623901890459347633e+05 1.099109700929496154e+21
6.600000000000000000e+01 1.000955236031072487e-10 1.662146845463383070e+05 1.140399601970035425e+21
6.700000000000000000e+01 1.024528824152422008e-10 1.701292521914190729e+05 1.183240627458375680e+21
6.800000000000000000e+01 1.048657595999193017e-10 1.741360133198805852e+05 1.227691047988360380e+21
6.900000000000000000e+01 1.073354626753965037e-10 1.782371392318197759e+05 1.273811323186473337e+21
7.000000000000000000e+01 1.098633299534155844e-10 1.824348523654376331e+05 1.321664183946603659e+21
7.100000000000000000e+01 1.124507312644187764e-10 1.867314275014516606e+05 1.371314717753948504e+21
7.200000000000000000e+01 1.150990686998499611e-10 1.911291929958847759e+05 1.422830457214349083e+21
7.300000000000000000e+01 1.178097773719384008e-10 1.956305320418907504e+05 1.476281471909390975e+21
7.400000000000000000e+01 1.205843261913700328e-10 2.002378839612890151e+05 1.531740463702073410e+21
7.500000000000000000e+01 1.234242186632829335e-10 2.049537455265345343e+05 1.589282865622976299e+21
7.600000000000000000e+01 1.263309937019999482e-10 2.097806723138083471e+05 1.648986944471068312e+21
7.700000000000000000e+01 1.293062264649556856e-10 2.147212800879885326e+05 1.710933907269009801e+21
7.800000000000000000e+01 1.323515292062631316e-10 2.197782462202412426e+05 1.775208011717635998e+21
7.900000000000000000e+01 1.354685521503764104e-10 2.249543111389899859e+05 1.841896680799703400e+21
8.000000000000000000e+01 1.386589843863391229e-10 2.302522798150760646e+05 1.911090621689135890e+21
8.100000000000000000e+01 1.419245547830830630e-10 2.356750232818828081e+05 1.982883949127075365e+21
8.200000000000000000e+01 1.452670329262898509e-10 2.412254801912746916e+05 2.057374313432907514e+21
8.300000000000000000e+01 1.486882300773174039e-10 2.469066584061846079e+05 2.134663033324245352e+21
8.400000000000000000e+01 1.521900001547020776e-10 2.527216366306994169e+05 2.214855233726350098e+21
8.500000000000000000e+01 1.557742407387879506e-10 2.586735660785576038e+05 2.298059988758848864e+21
8.600000000000000000e+01 1.594428941000047120e-10 2.647656721809278824e+05 2.384390470093725237e+21
8.700000000000000000e+01 1.631979482513701010e-10 2.710012563344230293e+05 2.473964100886806397e+21
8.800000000000000000e+01 1.670414380257804688e-10 2.773836976902875467e+05 2.566902715491951837e+21
8.900000000000000000e+01 1.709754461786648426e-10 2.839164549857127713e+05 2.663332725174991585e+21
9.000000000000000000e+01 1.750021045166154088e-10 2.906030684182993718e+05 2.763385290053167088e+21
9.100000000000000000e+01 1.791235950525986172e-10 2.974471615646700957e+05 2.867196497493775352e+21
9.200000000000000000e+01 1.833421511883639838e-10 3.044524433442580048e+05 2.974907547214431650e+21
9.300000000000000000e+01 1.876600589247129835e-10 3.116227100293709082e+05 3.086664943337274343e+21
9.400000000000000000e+01 1.920796581002579030e-10 3.189618473025782732e+05 3.202620693657663046e+21
9.500000000000000000e+01 1.966033436593636792e-10 3.264738323625712655e+05 3.322932516398968078e+21
9.600000000000000000e+01 2.012335669499515762e-10 3.341627360796254943e+05 3.447764054734471168e+21
9.700000000000000000e+01 2.059728370518573906e-10 3.420327252018148429e+05 3.577285099367862632e+21
9.800000000000000000e+01 2.108237221364893168e-10 3.500880646132162656e+05 3.711671819475766739e+21
9.900000000000000000e+01 2.157888508584916805e-10 3.583331196452779695e+05 3.851107002325584577e+21
1.000000000000000000e+02 2.208709137801940259e-10 3.667723584426460438e+05 3.995780301895265419e+21
1.010000000000000000e+02 2.260726648296084789e-10 3.754103543847169494e+05 4.145888496832919634e+21
1.020000000000000000e+02 2.313969227927523900e-10 3.842517885642070905e+05 4.301635758106781680e+21
1.030000000000000000e+02 2.368465728411346585e-10 3.933014523241326096e+05 4.463233926710397239e+21
1.040000000000000000e+02 2.424245680951981246e-10 4.025642498545141425e+05 4.630902801799755858e+21
1.050000000000000000e+02 2.481339312245946595e-10 4.120452008502660319e+05 4.804870439655123714e+21
1.060000000000000000e+02 2.539777560861487494e-10 4.217494432316891616e+05 4.985373463873903919e+21
1.070000000000000000e+02 2.599592094003842147e-10 4.316822359290215536e+05 5.172657387216003138e+21
1.080000000000000000e+02 2.660815324675541794e-10 4.418489617326090811e+05 5.366976945540475912e+21
1.090000000000000000e+02 2.723480429240659924e-10 4.522551302101770416e+05 5.568596444286431527e+21
1.100000000000000000e+02 2.787621365402846178e-10 4.629063806928375270e+05 5.777790117970494620e+21
1.110000000000000000e+02 2.853272890606771269e-10 4.738084853314312641e+05 5.994842503189421359e+21
1.120000000000000000e+02 2.920470580872800498e-10 4.849673522248352529e+05 6.220048825634693054e+21
1.130000000000000000e+02 2.989250850075460020e-10 4.963890286219921545e+05 6.453715401646702330e+21
1.140000000000000000e+02 3.059650969675713514e-10 5.080797041993249441e+05 6.696160054853242978e+21
1.150000000000000000e+02 3.131709088918104021e-10 5.200457144153741538e+05 6.947712548460225888e+21
1.160000000000000000e+02 3.205464255503561857e-10 5.322935439444523072e+05 7.208715033782149710e+21
1.170000000000000000e+02 3.280956436748920947e-10 5.448298301911503077e+05 7.479522515621798478e+21
1.180000000000000000e+02 3.358226541245007414e-10 5.576613668876668671e+05 7.760503335133571449e+21
1.190000000000000000e+02 3.437316441024555252e-10 5.707951077758310130e+05 8.052039670825503162e+21
1.200000000000000000e+02 3.518268994252359897e-10 5.842381703758809017e+05 8.354528058382854652e+21
1.210000000000000000e+02 3.601128068449822005e-10 5.979978398440165911e+05 8.668379930019791634e+21
1.220000000000000000e+02 3.685938564266271057e-10 6.120815729207862169e+05 8.994022174092016222e+21
1.230000000000000000e+02 3.772746439810400368e-10 6.264970019725220045e+05 9.331897715733238383e+21
1.240000000000000000e+02 3.861598735554460026e-10 6.412519391279248521e+05 9.682466119303154369e+21
1.250000000000000000e+02 3.952543599825152518e-10 6.563543805121179903e+05 1.004620421346811183e+22
1.260000000000000000e+02 4.045630314894877415e-10 6.718125105804344639e+05 1.042360673976403257e+22
1.270000000000000000e+02 4.140909323687250218e-10 6.876347065542539349e+05 1.081518702552284765e+22
1.280000000000000000e+02 4.238432257111867304e-10 7.038295429613762535e+05 1.122147768207980206e+22
1.290000000000000000e+02 4.338251962042525375e-10 7.204057962832942139e+05 1.164303132920880352e+22
1.300000000000000000e+02 4.440422529954566336e-10 7.373724497119665612e+05 1.208042134677326345e+22
1.310000000000000000e+02 4.544999326236675768e-10 7.547386980186416768e+05 1.253424265461402016e+22
1.320000000000000000e+02 4.652039020192767693e-10 7.725139525373295182e+05 1.300511252173404556e+22
1.330000000000000000e+02 4.761599615750798567e-10 7.907078462657160126e+05 1.349367140588306458e+22
1.340000000000000000e+02 4.873740482894456992e-10 8.093302390861792956e+05 1.400058382468101911e+22
1.350000000000000000e+02 4.988522389835332072e-10 8.283912231098229531e+05 1.452653925946778190e+22
1.360000000000000000e+02 5.106007535942787489e-10 8.479011281463966006e+05 1.507225309310758578e+22
1.370000000000000000e+02 5.226259585449111112e-10 8.678705273030197714e+05 1.563846758302241469e+22
1.380000000000000000e+02 5.349343701948836073e-10 8.883102427148511633e+05 1.622595287078087216e+22
1.390000000000000000e+02 5.475326583710182585e-10 9.092313514106859220e+05 1.683550802961207447e+22
1.400000000000000000e+02 5.604276499818371536e-10 9.306451913167639868e+05 1.746796215127242074e+22
1.410000000000000000e+02 5.736263327170162750e-10 9.525633674020036124e+05 1.812417547374239416e+22
1.420000000000000000e+02 5.871358588339377229e-10 9.749977579679476330e+05 1.880504055128575810e+22
1.430000000000000000e+02 6.009635490334616386e-10 9.979605210869460134e+05 1.951148346846616329e+22
1.440000000000000000e+02 6.151168964269333589e-10 1.021464101191923255e+06 2.024446509976809950e+22
1.450000000000000000e+02 6.296035705966472969e-10 1.045521235821427079e+06 2.100498241653910903e+22
1.460000000000000000e+02 6.444314217519399320e-10 1.070144962523563532e+06 2.179406984302958110e+22
1.470000000000000000e+02 6.596084849831314433e-10 1.095348625922513427e+06 2.261280066337270399e+22
1.480000000000000000e+02 6.751429846157006426e-10 1.121145884951589396e+06 2.346228848142262573e+22
1.490000000000000000e+02 6.910433386669567879e-10 1.147550720256595407e+06 2.434368873543118094e+22
1.500000000000000000e+02 7.073181634077019170e-10 1.174577441773640690e+06 2.525820026962779623e+22
1.510000000000000000e+02 7.239762780313297765e-10 1.202240696485462831e+06 2.620706696483855296e+22
1.520000000000000000e+02 7.410267094328516778e-10 1.230555476360410219e+06 2.719157943036030013e+22
1.530000000000000000e+02 7.584786971005063913e-10 1.259537126478492282e+06 2.821307675939470888e+22
1.540000000000000000e+02 7.763416981225761362e-10 1.289201353348862147e+06 2.927294835042824906e+22
1.550000000000000000e+02 7.946253923120757056e-10 1.319564233423160156e+06 3.037263579703305411e+22
1.560000000000000000e+02 8.133396874521965182e-10 1.350642221809512703e+06 3.151363484866482432e+22
1.570000000000000000e+02 8.324947246652234039e-10 1.382452161191702355e+06 3.269749744511781280e+22
1.580000000000000000e+02 8.521008839079378509e-10 1.415011290958518395e+06 3.392583382740992052e+22
1.590000000000000000e+02 8.721687895964437928e-10 1.448337256548169302e+06 3.520031472796689655e+22
1.600000000000000000e+02 8.927093163634211866e-10 1.482448119012754643e+06 3.652267364308167845e+22
1.610000000000000000e+02 9.137335949510344188e-10 1.517362364808159880e+06 3.789470919074671860e+22
1.620000000000000000e+02 9.352530182425586936e-10 1.553098915814464679e+06 3.931828755705786008e+22
1.630000000000000000e+02 9.572792474361032289e-10 1.589677139592484571e+06 4.079534503452448968e+22
1.640000000000000000e+02 9.798242183637325388e-10 1.627116859881934011e+06 4.232789065573561532e+22
1.650000000000000000e+02 1.002900147959362145e-09 1.665438367346821819e+06 4.391800892596077095e+22
1.660000000000000000e+02 1.026519540879052598e-09 1.704662430574109079e+06 4.556786265841068514e+22
1.670000000000000000e+02 1.050695196277146496e-09 1.744810307331346441e+06 4.727969591600410421e+22
1.680000000000000000e+02 1.075440214742036888e-09 1.785903756089604693e+06 4.905583706365045716e+22
1.690000000000000000e+02 1.100768005395287301e-09 1.827965047817868413e+06 5.089870193519695705e+22
1.700000000000000000e+02 1.126692293157884235e-09 1.871016978055189829e+06 5.281079711934320109e+22
1.710000000000000000e+02 1.153227126187704254e-09 1.915082879267383600e+06 5.479472336900292870e+22
1.720000000000000000e+02 1.180386883492054266e-09 1.960186633494686102e+06 5.685317913873777007e+22
1.730000000000000000e+02 1.208186282719554699e-09 2.006352685297467513e+06 5.898896425508493328e+22
1.740000000000000000e+02 1.236640388135530828e-09 2.053606055006932933e+06 6.120498372476715768e+22
1.750000000000000000e+02 1.265764618785169346e-09 2.101972352287887130e+06 6.350425168595948824e+22
1.760000000000000000e+02 1.295574756849024627e-09 2.151477790021183901e+06 6.588989550799956528e+22
1.770000000000000000e+02 1.326086956195204950e-09 2.202149198513066396e+06 6.836516004510266556e+22
1.780000000000000000e+02 1.357317751133040704e-09 2.254014040039379150e+06 7.093341204987989354e+22
1.790000000000000000e+02 1.389284065372911836e-09 2.307100423732428346e+06 7.359814475265786407e+22
1.800000000000000000e+02 1.422003221197016915e-09 2.361437120818453841e+06 7.636298261282225232e+22
1.810000000000000000e+02 1.455492948846233815e-09 2.417053580214260612e+06 7.923168624866260890e+22
1.820000000000000000e+02 1.489771396127937926e-09 2.473979944491120055e+06 8.220815755240573764e+22
1.830000000000000000e+02 1.524857138250173575e-09 2.532247066214897204e+06 8.529644499741017165e+22
1.840000000000000000e+02 1.560769187887427543e-09 2.591886524671150371e+06 8.850074914473457484e+22
1.850000000000000000e+02 1.597527005483387145e-09 2.652930642984139267e+06 9.182542835656263152e+22
1.860000000000000000e+02 1.635150509796458439e-09 2.715412505639359355e+06 9.527500472427300363e+22
1.870000000000000000e+02 1.673660088693519069e-09 2.779365976418703329e+06 9.885417021919614468e+22
1.880000000000000000e+02 1.713076610197960283e-09 2.844825716758314520e+06 1.025677930744420825e+23
1.890000000000000000e+02 1.753421433797923362e-09 2.911827204538969789e+06 1.064209244064726888e+23
1.900000000000000000e+02 1.794716422020768072e-09 2.980406753319012001e+06 1.104188050854157893e+23
1.910000000000000000e+02 1.836983952280268753e-09 3.050601532020661980e+06 1.145668728634872619e+23
1.920000000000000000e+02 1.880246929002685054e-09 3.122449585079911165e+06 1.188707697711908074e+23
1.930000000000000000e+02 1.924528796038510659e-09 3.195989853071331512e+06 1.233363497913774747e+23
1.940000000000000000e+02 1.969853549366530271e-09 3.271262193818817846e+06 1.279696868215944139e+23
1.950000000000000000e+02 2.016245750096976826e-09 3.348307404003570788e+06 1.327770829355426345e+23
1.960000000000000000e+02 2.063730537781070836e-09 3.427167241281430703e+06 1.377650769549054915e+23
1.970000000000000000e+02 2.112333644033868645e-09 3.507884446921080817e+06 1.429404533431766918e+23
1.980000000000000000e+02 2.162081406478040229e-09 3.590502768975808751e+06 1.483102514336102812e+23
1.990000000000000000e+02 2.213000783016043481e-09 3.675066986001244746e+06 1.538817750038349412e+23
2.000000000000000000e+02 2.265119366438313742e-09 3.761622931331742555e+06 1.596626022101422011e+23
2.010000000000000000e+02 2.318465399375657660e-09 3.850217517929043621e+06 1.656605958949915213e+23
2.020000000000000000e+02 2.373067789603622737e-09 3.940898763816145714e+06 1.718839142817152683e+23
2.030000000000000000e+02 2.428956125707416710e-09 4.033715818110640626e+06 1.783410220710006327e+23
2.040000000000000000e+02 2.486160693115753618e-09 4.128718987671473995e+06 1.850407019542305875e+23
2.050000000000000000e+02 2.544712490512195738e-09 4.225959764373354614e+06 1.919920665593278859e+23
2.060000000000000000e+02 2.604643246633180949e-09 4.325490853024146520e+06 1.992045708453871364e+23
2.070000000000000000e+02 2.665985437461475104e-09 4.427366199939754792e+06 2.066880249629090502e+23
2.080000000000000000e+02 2.728772303824679032e-09 4.531641022192540579e+06 2.144526075971665322e+23
2.090000000000000000e+02 2.793037869408198932e-09 4.638371837548926473e+06 2.225088798128373791e+23
2.100000000000000000e+02 2.858816959192306068e-09 4.747616495112210512e+06 2.308677994187162785e+23
2.110000000000000000e+02 2.926145218323617240e-09 4.859434206687771715e+06 2.395407358720879383e+23
2.120000000000000000e+02 2.995059131430806821e-09 4.973885578887019306e+06 2.485394857429808794e+23
2.130000000000000000e+02 3.065596042395368623e-09 5.091032645988063887e+06 2.578762887593798444e+23
2.140000000000000000e+02 3.137794174588005185e-09 5.210938903570735827e+06 2.675638444552050914e+23
2.150000000000000000e+02 3.211692651581447030e-09 5.333669342943921685e+06 2.776153294436792575e+23
2.160000000000000000e+02 3.287331518351320481e-09 5.459290486384568736e+06 2.880444153396297906e+23
2.170000000000000000e+02 3.364751762976081662e-09 5.587870423206669278e+06 2.988652873550394840e+23
2.180000000000000000e+02 3.443995338848160118e-09 5.719478846680489369e+06 3.100926635931923655e+23
